Host,Early_type_host?,Inclination,Position_angle,Host_with_sat_mask,Host_early_type_mask,Host_group_primary_mask,Host_alfa_overlap_mask,Host_r200_coverage_mask,Host_r200_half_coverage_mask,Dist,Vel,lmstar,lmhalo,Rcover,R200,Vesc(R200),Netg,Netg_r200,Netg_dim,Netg_dim_r200,Ngas,Ngas_r200,Ngas_dim,Ngas_dim_r200
M31,,,,0,0,0,0,0,1,0.8,-300,11.01,12.76425899,300,379.3604307,362.9936443,0,0,0,0,0,0,0,0
NGC253,,,,1,0,0,0,1,1,3.6,259,10.77,12.34772892,300,275.55524,263.6669317,2,2,2,2,3,2,2,2
NGC628,,,,1,0,0,0,1,1,9.8,656,10.45,11.98221161,300,208.1467199,199.1666243,5,5,5,5,8,4,8,4
NGC891,,,,1,0,0,0,0,1,9.1,528,10.84,12.45534076,200,299.2810961,286.3691807,2,2,2,2,1,1,1,1
NGC1023,TRUE,,,1,1,0,0,0,1,10.4,638,10.6,12.13192349,200,233.4928196,223.4192147,6,6,6,6,8,8,7,7
NGC1291,,,,1,0,0,0,1,1,9.1,838,10.78,12.36237675,300,278.6706838,266.6479656,11,11,11,11,3,3,3,3
NGC1808,,,,1,0,0,0,1,1,9.3,1002,10.01,11.65546789,300,161.9776137,154.9893967,6,4,6,4,4,4,2,2
NGC2683,,,,1,0,0,0,1,1,9.4,409,10.5,12.02883269,300,215.7296954,206.4224468,4,3,4,3,2,2,2,2
NGC2903,,,,1,0,0,1,1,1,9,556,10.67,12.21371135,300,248.6200499,237.8938093,3,2,3,2,4,4,4,4
M81,,,,0,0,1,0,1,1,3.6,-42,10.66,12.2014701,300,246.2950779,235.6691438,0,0,0,0,0,0,0,0
NGC3115,TRUE,,,1,1,0,0,1,1,10.2,666,10.76,12.33331775,300,272.5241225,260.766586,15,15,15,15,2,2,2,2
NGC3344,,,,1,0,0,1,1,1,9.8,585,10.27,11.83417132,300,185.7902028,177.7746368,3,3,3,3,0,0,0,0
NGC3379,TRUE,,,1,1,1,0,1,1,10.7,876,10.63,12.16588852,370,239.659808,229.32014,37,24,34,22,7,3,5,2
NGC3521,,,,1,0,0,0,1,1,11.2,798,10.83,12.43923638,330,295.6045812,282.8512821,10,9,10,9,1,1,1,1
NGC3556,,,,1,0,0,0,1,1,9.6,698,9.94,11.61180416,300,156.6391868,149.8812861,0,0,0,0,1,0,1,0
NGC3621,,,,0,0,0,0,0,0,6.7,731,9.9,11.58746661,0,153.7403635,147.1075271,0,0,0,0,0,0,0,0
NGC3627,,,,1,0,1,1,1,1,10.5,789,10.66,12.2014701,300,246.2950779,235.6691438,8,8,8,8,12,9,9,7
NGC4258,,,,1,0,0,0,0,1,7.2,462,10.62,12.15439351,150,237.5546514,227.3058065,5,5,5,5,2,2,2,2
NGC4517,,,,1,0,0,1,1,1,8.3,1136,9.93,11.60568059,300,155.9047082,149.1784953,4,1,4,1,5,0,5,0
NGC4565,,,,1,0,0,0,0,0,11.9,1261,10.88,12.52219339,150,315.0384026,301.4466681,1,1,1,1,3,3,3,3
M104,TRUE,,,1,1,0,0,0,0,9.6,1092,11.09,12.92804384,150,430.1767968,411.6176346,11,11,11,11,0,0,0,0
NGC4631,,,,1,0,0,0,1,1,7.4,606,10.05,11.68111117,200,165.1972282,158.0701071,7,6,7,6,5,4,4,3
NGC4736,,,,1,0,0,0,1,1,4.2,287,10.29,11.84937651,300,187.9711524,179.8614935,2,2,2,2,5,1,5,1
NGC4826,,,,1,0,0,1,1,1,5.3,402,10.36,11.90482823,300,196.1440375,187.681775,4,3,4,3,3,1,3,1
NGC5055,,,,1,0,0,0,1,1,8.9,503,10.72,12.27797816,300,261.1911285,249.9225326,7,7,7,7,2,2,2,2
CEN A,TRUE,,,0,1,0,0,0,1,3.7,548,10.92,12.59284379,200,332.5934026,318.2442909,0,0,0,0,0,0,0,0
NGC5194,,,,1,0,0,0,0,1,8.6,465,10.73,12.29147422,150,263.9107657,252.5248361,2,2,2,2,1,1,0,0
NGC5236,,,,0,0,0,0,1,1,4.7,520,10.37,11.91306185,300,197.3875018,188.8715923,0,0,0,0,0,0,0,0
NGC5457,,,,1,0,0,0,1,1,6.5,243,10.33,11.8806131,300,192.5322124,184.2257752,6,5,6,5,3,3,3,3
NGC6744,,,,1,0,0,0,0,1,8.9,839,10.64,12.17756335,200,241.8169941,231.3842585,3,3,3,3,2,2,2,2
MW,,,,0,0,0,0,1,1,0,0,10.78,12.36237675,300,278.6706838,266.6479656,0,0,0,0,0,0,0,0